Timestamp,Symbol,Current_Price,Action_Pred,Method,Expected_Move,Next_Price_Real,Result_Verified,Profit_Loss_Pct
2025-12-14 18:08:00,BTCUSDT,90022.53,SELL,ReMem-Only,DOWN,90021.99,CORRECT,-0.0006%
2025-12-14 18:08:00,ETHUSDT,3110.31,SELL,ReMem-Only,DOWN,3109.87,CORRECT,-0.0141%
2025-12-14 18:08:00,BNBUSDT,894.06,BUY,ReMem-Only,UP,893.93,WRONG,-0.0145%
2025-12-14 18:08:00,SOLUSDT,132.57,BUY,ReMem-Only,UP,132.54,WRONG,-0.0226%
2025-12-14 18:08:00,PEPEUSDT,4.33e-06,SELL,ReMem-Only,DOWN,4.33e-06,WRONG,0.0000%
2025-12-14 18:09:01,BTCUSDT,90021.99,HOLD,ReMem-Only,FLAT,90001.1,NEUTRAL,-0.0232%
2025-12-14 18:09:01,ETHUSDT,3109.87,BUY,ReMem-Only,UP,3109.33,WRONG,-0.0174%
2025-12-14 18:09:01,BNBUSDT,893.93,BUY,ReMem-Only,UP,893.82,WRONG,-0.0123%
2025-12-14 18:09:01,SOLUSDT,132.54,BUY,ReMem-Only,UP,132.5,WRONG,-0.0302%
2025-12-14 18:09:01,PEPEUSDT,4.33e-06,SELL,ReMem-Only,DOWN,4.33e-06,WRONG,0.0000%
2025-12-14 18:10:02,BTCUSDT,90001.1,SELL,ReMem-Only,DOWN,89969.13,CORRECT,-0.0355%
2025-12-14 18:10:02,ETHUSDT,3109.32,SELL,ReMem-Only,DOWN,3108.65,CORRECT,-0.0215%
2025-12-14 18:10:02,BNBUSDT,893.82,BUY,ReMem-Only,UP,893.71,WRONG,-0.0123%
2025-12-14 18:10:02,SOLUSDT,132.5,BUY,ReMem-Only,UP,132.42,WRONG,-0.0604%
2025-12-14 18:10:02,PEPEUSDT,4.33e-06,SELL,ReMem-Only,DOWN,4.33e-06,WRONG,0.0000%
