Timestamp,Symbol,Current_Price,Action_Pred,LLM_Reason,Expected_Move,Next_Price_Real,Result_Verified,Profit_Loss_Pct
2025-12-14 18:08:08,BTCUSDT,90022.53,HOLD,0,FLAT,89965.01,NEUTRAL,-0.0639%
2025-12-14 18:08:08,ETHUSDT,3109.87,SELL,2,DOWN,3108.1,CORRECT,-0.0569%
2025-12-14 18:08:08,BNBUSDT,893.93,HOLD,0,FLAT,893.85,NEUTRAL,-0.0089%
2025-12-14 18:08:08,SOLUSDT,132.49,SELL,2,DOWN,132.42,CORRECT,-0.0528%
2025-12-14 18:08:08,PEPEUSDT,4.33e-06,SELL,2,DOWN,4.34e-06,WRONG,0.2309%
2025-12-14 18:11:55,BTCUSDT,89965.01,HOLD,0,FLAT,89799.2,NEUTRAL,-0.1843%
2025-12-14 18:11:55,ETHUSDT,3107.85,SELL,2,DOWN,3097.0,CORRECT,-0.3491%
2025-12-14 18:11:55,BNBUSDT,893.65,SELL,2,DOWN,891.79,CORRECT,-0.2081%
2025-12-14 18:11:55,SOLUSDT,132.35,SELL,2,DOWN,131.04,CORRECT,-0.9898%
2025-12-14 18:11:55,PEPEUSDT,4.32e-06,SELL,2,DOWN,4.29e-06,CORRECT,-0.6944%
2025-12-14 18:14:12,BTCUSDT,89799.2,HOLD,0,FLAT,89831.08,NEUTRAL,0.0355%
2025-12-14 18:14:12,ETHUSDT,3098.9,SELL,2,DOWN,3098.11,CORRECT,-0.0255%
2025-12-14 18:14:12,BNBUSDT,893.05,HOLD,0,FLAT,890.39,NEUTRAL,-0.2979%
2025-12-14 18:14:12,SOLUSDT,131.38,SELL,2,DOWN,131.47,WRONG,0.0685%
2025-12-14 18:14:12,PEPEUSDT,4.3e-06,SELL,2,DOWN,4.3e-06,WRONG,0.0000%
2025-12-14 18:16:25,BTCUSDT,89831.08,HOLD,0,FLAT,89898.98,NEUTRAL,0.0756%
2025-12-14 18:16:25,ETHUSDT,3099.71,SELL,2,DOWN,3101.61,WRONG,0.0613%
2025-12-14 18:16:25,BNBUSDT,891.0,HOLD,0,FLAT,891.88,NEUTRAL,0.0988%
2025-12-14 18:16:25,SOLUSDT,131.49,SELL,2,DOWN,131.79,WRONG,0.2282%
2025-12-14 18:16:25,PEPEUSDT,4.3e-06,SELL,2,DOWN,4.31e-06,WRONG,0.2326%
